Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Year
1,Uruguay,4,4,0,0,15,3,12,8,1930
2,Argentina,5,4,0,1,18,9,9,8,1930
3,United States,3,2,0,1,7,6,1,4,1930
4,Yugoslavia,3,2,0,1,7,7,0,4,1930
5,Chile,3,2,0,1,5,3,2,4,1930
6,Brazil,2,1,0,1,5,2,3,2,1930
7,France,3,1,0,2,4,3,1,2,1930
8,Romania,2,1,0,1,3,5,−2,2,1930
9,Paraguay,2,1,0,1,1,3,−2,2,1930
10,Peru,2,0,0,2,1,4,−3,0,1930
11,Belgium,2,0,0,2,0,4,−4,0,1930
12,Bolivia,2,0,0,2,0,8,−8,0,1930
13,Mexico,3,0,0,3,4,13,−9,0,1930
1,Italy,4,3,1,0,11,3,8,7,1934
2,Czechoslovakia,4,3,0,1,9,6,3,6,1934
3,Germany,4,3,0,1,11,8,3,6,1934
4,Austria,4,2,0,2,7,7,0,4,1934
5,Spain,2,1,1,0,4,2,2,3,1934
6,Hungary,2,1,0,1,5,4,1,2,1934
7,Switzerland,2,1,0,1,5,5,0,2,1934
8,Sweden,2,1,0,1,4,4,0,2,1934
9,Argentina,1,0,0,1,2,3,−1,0,1934
9,France,1,0,0,1,2,3,−1,0,1934
9,Netherlands,1,0,0,1,2,3,−1,0,1934
12,Romania,1,0,0,1,1,2,−1,0,1934
13,Egypt,1,0,0,1,2,4,−2,0,1934
14,Brazil,1,0,0,1,1,3,−2,0,1934
15,Belgium,1,0,0,1,2,5,−3,0,1934
16,United States,1,0,0,1,1,7,−6,0,1934
1,Italy,4,4,0,0,11,5,6,8,1938
2,Hungary,4,3,0,1,15,5,10,6,1938
3,Brazil,5,3,1,1,14,11,3,7,1938
4,Sweden,3,1,0,2,11,9,2,2,1938
5,Czechoslovakia,3,1,1,1,5,3,2,3,1938
6,Switzerland,3,1,1,1,5,5,0,3,1938
7,Cuba,3,1,1,1,5,12,−7,3,1938
8,France,2,1,0,1,4,4,0,2,1938
9,Romania,2,0,1,1,4,5,-1,1,1938
10,Germany,2,0,1,1,3,5,-2,1,1938
11,Poland,1,0,0,1,5,6,−1,0,1938
12,Norway,1,0,0,1,1,2,−1,0,1938
13,Belgium,1,0,0,1,1,3,−2,0,1938
14,Netherlands,1,0,0,1,0,3,−3,0,1938
15,Dutch East Indies,1,0,0,1,0,6,−6,0,1938
1,Uruguay,4,3,1,0,15,5,10,7,1950
2,Brazil,6,4,1,1,22,6,16,9,1950
3,Sweden,5,2,1,2,11,15,−4,5,1950
4,Spain,6,3,1,2,10,12,−2,7,1950
5,Yugoslavia,3,2,0,1,7,3,4,4,1950
6,Switzerland,3,1,1,1,4,6,−2,3,1950
7,Italy,2,1,0,1,4,3,1,2,1950
8,England,3,1,0,2,2,2,0,2,1950
9,Chile,3,1,0,2,5,6,−1,2,1950
10,United States,3,1,0,2,4,8,−4,2,1950
11,Paraguay,2,0,1,1,2,4,−2,1,1950
12,Mexico,3,0,0,3,2,10,−8,0,1950
13,Bolivia,1,0,0,1,0,8,−8,0,1950
1,West Germany,6,5,0,1,25,14,11,10,1954
2,Hungary,5,4,0,1,27,10,17,8,1954
3,Austria,5,4,0,1,17,12,5,8,1954
4,Uruguay,5,3,0,2,16,9,7,6,1954
5,Switzerland,4,2,0,2,11,11,0,4,1954
6,Brazil,3,1,1,1,8,5,3,3,1954
7,England,3,1,1,1,8,8,0,3,1954
8,Yugoslavia,3,1,1,1,2,3,−1,3,1954
9,Turkey,3,1,0,2,10,11,−1,2,1954
10,Italy,3,1,0,2,6,7,−1,2,1954
11,France,2,1,0,1,3,3,0,2,1954
12,Belgium,2,0,1,1,5,8,−3,1,1954
13,Mexico,2,0,0,2,2,8,−6,0,1954
14,Czechoslovakia,2,0,0,2,0,7,−7,0,1954
15,Scotland,2,0,0,2,0,8,−8,0,1954
16,South Korea,2,0,0,2,0,16,−16,0,1954
1,Brazil,6,5,1,0,16,4,12,11,1958
2,Sweden,6,4,1,1,12,7,5,9,1958
3,France,6,4,0,2,23,15,8,8,1958
4,West Germany,6,2,2,2,12,14,−2,6,1958
5,Wales,5,1,3,1,4,4,0,5,1958
6,Soviet Union,5,2,1,2,5,6,−1,5,1958
7,Northern Ireland,5,2,1,2,6,10,−4,5,1958
8,Yugoslavia,4,1,2,1,7,7,0,4,1958
9,Czechoslovakia,4,1,1,2,9,6,3,3,1958
10,Hungary,4,1,1,2,7,5,2,3,1958
11,England,4,0,3,1,4,5,−1,3,1958
12,Paraguay,3,1,1,1,9,12,−3,3,1958
13,Argentina,3,1,0,2,5,10,−5,2,1958
14,Scotland,3,0,1,2,4,6,−2,1,1958
15,Austria,3,0,1,2,2,7,−5,1,1958
16,Mexico,3,0,1,2,1,8,−7,1,1958
1,Brazil,6,5,1,0,14,5,9,11,1962
2,Czechoslovakia,6,3,1,2,7,7,0,7,1962
3,Chile,6,4,0,2,10,8,2,8,1962
4,Yugoslavia,6,3,0,3,10,7,3,6,1962
5,Hungary,4,2,1,1,8,3,5,5,1962
6,Soviet Union,4,2,1,1,9,7,2,5,1962
7,West Germany,4,2,1,1,4,2,2,5,1962
8,England,4,1,1,2,5,6,−1,3,1962
9,Italy,3,1,1,1,3,2,1,3,1962
10,Argentina,3,1,1,1,2,3,−1,3,1962
11,Mexico,3,1,0,2,3,4,−1,2,1962
12,Spain,3,1,0,2,2,3,−1,2,1962
13,Uruguay,3,1,0,2,4,6,−2,2,1962
14,Colombia,3,0,1,2,5,11,−6,1,1962
15,Bulgaria,3,0,1,2,1,7,−6,1,1962
16,Switzerland,3,0,0,3,2,8,−6,0,1962
1,England,6,5,1,0,11,3,8,11,1966
2,West Germany,6,4,1,1,15,6,9,9,1966
